MinTemp,MaxTemp,WindGustSpeed,Humidity,Pressure,Temp,RainTomorrow
-2.8,7.0,10.3,80.9,1022.9,1.5,No
-3.2,6.2,8.7,84.3,1021.1,1.3,No
-2.5,7.1,10.6,85.5,1016.9,2.1,No
-0.9,7.6,16.5,82.1,1015.7,3.3,No
-0.7,7.7,11.8,81.0,1013.9,3.5,No
-0.9,7.5,12.2,81.4,1014.6,3.0,No
-1.9,5.5,12.5,80.5,1017.3,1.6,No
-3.7,4.7,10.6,81.9,1016.9,0.4,No
-4.1,3.8,11.5,83.7,1019.1,-0.1,No
-1.5,5.1,12.7,87.0,1015.6,2.0,Yes
-1.0,6.6,11.1,83.0,1016.1,2.8,No
-1.0,5.7,10.1,82.5,1017.6,2.2,Yes
-2.5,4.9,10.5,82.3,1018.8,1.0,No
-3.1,5.7,13.4,80.7,1016.8,1.2,Yes
-2.4,5.2,11.8,80.5,1015.8,1.6,Yes
-2.0,5.7,10.6,82.2,1014.2,1.8,Yes
-1.7,6.9,12.5,81.4,1011.3,2.4,Yes
-0.1,6.6,15.1,76.9,1013.0,3.2,No
-0.3,7.9,12.3,77.0,1014.7,3.6,No
-2.0,6.7,12.1,80.6,1016.0,2.1,Yes
-2.7,6.2,9.3,84.6,1020.1,1.6,No
-2.0,6.4,11.5,81.5,1019.0,2.2,No
-1.3,6.4,10.8,80.2,1018.0,2.5,No
-1.9,5.8,10.2,80.3,1017.6,2.1,No
-2.2,5.4,13.2,80.5,1014.2,1.6,Yes
-3.6,5.5,12.3,81.9,1017.0,1.1,Yes
-3.4,3.7,14.4,83.2,1017.0,0.3,Yes
-2.9,5.3,10.2,78.9,1017.1,1.0,No
-2.2,6.1,9.9,80.8,1018.3,1.9,Yes
-2.0,6.7,11.8,78.6,1017.9,2.5,Yes
-1.9,7.1,11.4,76.0,1015.9,2.8,Yes
-1.0,9.2,12.6,77.2,1014.5,3.9,Yes
0.2,9.8,11.2,78.3,1015.2,4.9,No
1.2,10.6,12.5,76.7,1014.4,5.8,No
1.4,11.3,13.0,76.8,1012.8,6.2,No
0.3,9.1,12.9,78.8,1015.5,4.4,Yes
-0.3,8.2,12.2,77.8,1017.7,3.9,Yes
-0.6,7.2,10.6,81.2,1016.8,3.4,No
0.1,7.6,14.4,79.1,1015.5,3.6,Yes
-1.0,8.2,11.8,77.7,1018.4,3.6,No
-0.4,8.8,10.4,77.0,1017.4,4.0,No
-0.0,9.5,14.8,75.4,1014.7,4.7,No
-0.1,7.9,14.0,73.7,1018.7,3.7,No
-1.2,7.0,12.2,75.5,1021.5,2.9,No
-1.6,7.4,10.4,77.6,1016.9,2.9,No
-0.5,8.9,10.1,74.4,1018.1,4.1,No
-1.4,9.2,8.1,76.0,1020.8,3.5,No
